line_no,name,building_type,start_dynasty,start_year,century,century_num,province,address,start_time_confidence,建筑结构体系_terms,建筑材料_terms,建筑功能_terms,营造技艺_terms,建筑空间布局_terms,material_categories
1131,灵寿石牌坊,官府,明,1641,17世纪,17,河北省,河北省石家庄市灵寿县,0.98,四柱五楼;三重檐;仿木结构;石雕斗拱,花岗岩;灵寿绿,功绩表彰;敕建牌坊,透雕;浮雕;夹柱石狮;流云雕刻,坐北朝南;横跨道路;两面一体,石材类
1137,永平府城墙,官府,东汉,207,3世纪,3,河北省,河北省秦皇岛市卢龙县,0.94,砖石结构;垛口墙;瞭望孔,青砖;夯土,军事防御;长城防御体系,垛口墙砌筑;护城河整修,不规则矩形平面;四门制;瓮城,土类;砖瓦类
1138,下胡良桥,桥梁,明,1574,16世纪,16,河北省,河北省保定市涿州市,0.98,石拱桥;五孔拱,花岗岩;石材,交通桥梁;京畿要道,望柱雕刻;素面柱身;卷尖叶纹,对称栏板;双侧望柱;线性桥面,石材类
1142,保定钟楼,官府,金,1181,12世纪,12,河北省,河北省保定市南市区,0.75,重檐歇山顶;抬梁式;六椽三柱;斗拱结构,木材;铁;布瓦;石柱,报时;文物遗存;声学展示,斗拱;彩画;清水砌墙;T型枋构,台基式;面阔三间;廊柱环绕;金柱支撑,木材类;石材类;砖瓦类;金属类
1143,正定城墙,官府,东晋,352,4世纪,4,河北省,河北省石家庄市正定县,0.95,砖城;瓮城;月城;角楼;护城河,大青砖;土墙;青石;条石,防御体系;拱卫京师;望河楼;看花楼,城砖拱券;青石铺基;条石甬道;垛口;马面,官帽形制;四门直角瓮城;曲折迂回布局;南北长东西窄,土类;石材类;砖瓦类
1146,方顺桥,桥梁,西晋,309,4世纪,4,河北省,河北省保定市满城县,0.98,单圆拱;附拱;横向交错砌筑,花岗岩;料石;长条石;汉白玉,泄洪;桥身保护,横向交错砌筑;悬砌;拱券工艺,弧形桥面;望柱;吞水兽;桥头雕饰,石材类
1147,登瀛桥,桥梁,明,1368,14世纪,14,河北省,河北省沧州市沧县,0.85,抬梁式;穿斗式,木材;砖石,居住;行政办公,榫卯;斗拱,围院结构;中轴对称,木材类;石材类;砖瓦类
1154,衡水安济桥,桥梁,明,1457,15世纪,15,河北省,河北省衡水市桃城区,0.98,七孔连拱石桥;拱桥结构,石材;钢筋水泥,交通桥梁;河道跨越,石雕栏板;卷云纹雕刻,对称望柱布局;石栏板与望柱组合,石材类;金属类
1156,淮军公所,官府,清,1644,17世纪,17,河北省,河北省保定市南市区,0.6,抬梁式;穿斗式,青砖;木材;灰瓦,全国重点文物保护单位;近现代文物,雕花门窗;砖雕;彩绘,院落;军区院落遗址;戏楼,木材类;砖瓦类
1157,清河道署,官府,清,1726,18世纪,18,河北省,河北省保定市南市区,0.98,抬梁式;硬山顶;歇山顶;卷棚顶;悬山垂花门,砖;木材;磨砖对缝;彩绘,前衙后邸;办公场所;官员居所;休憩聚会空间,砖雕;木雕;彩绘装饰;透雕花罩,三路轴线对称;中轴线布局;院落组合;一正两厢;庑廊连接,木材类;砖瓦类
1158,深州盈亿义仓,官府,清,1898,19世纪,19,河北省,河北省衡水市深州市,0.98,四合院式;围院结构,青砖;木材;灰瓦,粮仓;赈灾仓库;自救仓储,防潮技术;防火设计;抗震构造;通风设计,四合院式;围院布局,木材类;砖瓦类
1183,襄垣永惠桥,桥梁,金,1131,12世纪,12,山西省,山西省长治市襄垣县,0.95,单孔石拱桥;石拱结构,条石;石材,交通通道;城门连接桥,纵联式砌筑法;拱券技术,跨河桥位;城门间布局,石材类
1242,隰县鼓楼,官府,明,1617,17世纪,17,山西省,山西省临汾市隰县,0.98,重檐十字歇山顶;梁架结构;墩台结构,青砖;朱红涂料,报时设施;地标建筑,明代原构;修葺可考工艺,十字券门洞;四面悬匾布局;露天梯道,砖瓦类
1261,陈廷敬故居,民居,明,1429,15世纪,15,山西省,山西省晋城市阳城县,0.95,城堡式;内城外城结构;依山就势,石刻;砖石,宗祠;藏兵洞;御书楼;内宅;城墙,砖木结构营造;防御性营造;官式营造,内城外城布局;院落式;依山就势布局;附属建筑群,石材类;砖瓦类
1276,唱经楼,官府,明,1368,14世纪,14,山西省,山西省太原市杏花岭区,0.9,歇山顶;重檐十字歇山顶;悬山式顶;拱券窑洞式;木构楼阁,孔雀蓝琉璃瓦,科举唱榜场所;宣唱名次建筑;科举文化建筑,落架拆卸维修;整体拆卸复原,工字形格局;坐南朝北;楼阁院落组合,砖瓦类
1291,平遥惠济桥,桥梁,清,1671,17世纪,17,山西省,山西省晋中市平遥县,0.95,石拱桥;九墩联孔,石材;石砌,交通桥梁;水利设施,拱券砌筑;传统石作,弧形桥面;线性布局,石材类
1292,雷履泰旧居,民居,清,1821,19世纪,19,山西省,山西省晋中市平遥县,0.92,三进两院过道厅;窑洞加前廊;主院与跨院组合,青砖;灰瓦;木构架,住宅;厨房及佣人生活处;书房;先祖圣龛,抬梁式木构;砖雕装饰;合院布局营造,中轴对称布局;晋元楼;夹道;四院贯通,木材类;砖瓦类
1302,闫景李家大院,民居,清,1821,19世纪,19,山西省,山西省运城市万荣县,0.95,竖井式四合院;晋南民居风格;哥特式门楼,砖雕;石雕;木雕;铁艺,私塾;学校,镂空仿木砖雕;砖雕善字影壁;晋南三雕技艺,竖井式聚财型四合院;多院落组合;祠堂花园配置,木材类;石材类;砖瓦类;金属类
1306,奈曼蒙古王府,宫殿,清,1863,19世纪,19,内蒙古自治区,内蒙古自治区通辽市奈曼旗,0.95,抬梁式木构架;硬山顶,砖石;木材,王府;文物保护单位,榫卯结构;雕花门窗,四合院;回廊式;东院西院分置;正殿配殿布局,木材类;石材类;砖瓦类
1312,四子王旗王府,宫殿,清,1644,17世纪,17,内蒙古自治区,内蒙古自治区乌兰察布市四子王旗,0.95,抬梁式木构架;硬山顶,琉璃瓦;砖石,理政;居住,逾制营造;规制限制,王城;四合院;城门城墙,石材类;砖瓦类
1335,延吉边务督办公署旧址,官府,清,1909,20世纪,20,吉林省,吉林省延边朝鲜族自治州延吉市,0.98,围廊式;重檐结构;柱承重结构,青砖;木材;红漆圆柱;石鼓,行政办公;军事机构;边务督署,石雕;木构彩绘;几何图案雕刻;中式传统装饰,四面围廊;通透式布局,木材类;石材类;砖瓦类
1342,思本桥,桥梁,宋,1253,13世纪,13,江苏省,江苏省苏州市吴江区,0.96,单孔拱桥;分节并列砌筑;无横向联系构造,武康石,交通桥梁;村落连通,分节并列砌筑;条石衔接;弧形桥面石;乳钉纹饰,东西走向;单孔拱形布局,石材类
1343,东庙桥,桥梁,宋,1223,13世纪,13,江苏省,江苏省苏州市吴江区,0.95,石梁桥;拱形桥面,武康石;花岗石,交通桥;古桥遗存,排柱平接;石雕装饰;横系石构造,三孔布局;六梁并列,石材类
1349,七桥瓮,桥梁,明,1440,15世纪,15,江苏省,江苏省南京市秦淮区,0.99,七孔不等跨石拱桥;梭形桥墩;分水尖,花岗岩;糯米灰浆;桐油灰浆;石灰岩,交通要道;水位标识;军事要冲,并列砌筑;素平技法;半圆拱券,七孔联拱;中孔最大;对称递减跨径,灰浆胶结类;石材类
1350,蒲塘桥,桥梁,明,1508,16世纪,16,江苏省,江苏省南京市溧水区,0.99,九孔不等跨连续坦拱桥;薄墩石拱桥;分水尖桥墩,火山凝灰岩;花岗岩;仰天石,驿路桥;公路桥;步行桥,无铰横联砌置;桩木基础;条石收分砌筑,中孔最大两侧递减;石栏杆与石狮柱;燕翅墙,石材类
1352,玉燕堂,民居,明,1436,15世纪,15,江苏省,江苏省苏州市昆山市,0.95,抬梁式;穿斗式;五进院落,木材;砖石,门厅;轿厅;正厅;堂楼;备弄,糯米灰浆;木构架,坐东朝西;前后五进;临街面河;桥从门前进，船自家中过,木材类;石材类;砖瓦类
1357,日涉园,民居,明,1574,16世纪,16,江苏省,江苏省泰州市海陵区,0.95,歇山半亭;山响草堂;来青阁,石笋;古柏,私人住宅园林;下榻场所,依图复建;明代风貌保留,前后两园;东西分隔;山响草堂为中心;来青阁连接,石材类
1361,近园,民居,清,1668,17世纪,17,江苏省,江苏省常州市天宁区,0.98,硬山顶;爬山廊;民居风格,黄石;假山石,厅堂;书斋;轩馆,一隔;虚实结合;对比手法,西宅东园;中有大池;池周环建;池中一岛,石材类
1362,杨柳村古建筑群,民居,明,1572,16世纪,16,江苏省,江苏省南京市江宁区,0.85,穿斗式;抬梁式;混合式木构架,青石;雕砖;石板,宗祠;民俗博物馆;客厅;书房,传统木构营造;地方建筑工艺,多进院落;中轴对称;三纵列院落;高墙深院,石材类;砖瓦类
1363,苏州织造署旧址,官府,明,1645,17世纪,17,江苏省,江苏省苏州市姑苏区,0.85,砖石照壁;房廊;头门;仪门,砖石;太湖石,织造衙门;行宫;机房;吏舍,增建修理;围墙砌筑;碑刻镌制,围院结构;三门布局;前后两所;多局分设,石材类;砖瓦类
1364,卫道观前潘宅,民居,清,1787,18世纪,18,江苏省,江苏省苏州市姑苏区,0.95,木构架;抬梁式,砖;砖雕,住宅;民居,砖雕技艺;雕刻工巧,五路六进;多进院落;礼耕堂布局,砖瓦类
1365,杨氏宅第,民居,清,1644,17世纪,17,江苏省,江苏省苏州市张家港市,0.95,清代仿明建筑,石刻;砖石,孝子祠;孝子坊;榜眼府,石雕;木构架;镂空雕刻,一进院落;二进正厅,石材类;砖瓦类
1366,燕园,宫殿,金,1644,17世纪,17,江苏省,江苏省苏州市常熟市,0.75,木构架;台基结构,青砖;木材;太湖石,皇家园林;校园环境;古典园林,叠山理水;借景;传统园林造景,北方园林;江南山水园林;园林化布局;多园组合,木材类;石材类;砖瓦类
1367,敬业堂,民居,清,1742,18世纪,18,江苏省,江苏省苏州市昆山市,0.98,走马楼;多进院落,上等木料;木材,正厅;门厅;茶厅,木雕;砖雕;斗拱;马头墙,七进五门楼;坐东朝西;多进院落布局,木材类
1369,耕乐堂,民居,明,1436,15世纪,15,江苏省,江苏省苏州市吴江区,0.98,硬山顶;三明两暗合院;前宅后园;抬梁式,青砖;竹丝板门;白皮松,堂楼;绣楼;鸳鸯厅;备弄,鹤胜三弯椽;大坡屋顶;传统修缮,前宅后园;备弄分界;回廊连接;池心布局,砖瓦类
1370,学政试院,官府,五代十国,1644,17世纪,17,江苏省,江苏省泰州市海陵区,0.85,抬梁式木构架;硬山顶,青砖;木材;灰瓦,院试场所;办公场所;科举博物馆,榫卯结构;雕花门窗,中轴对称布局;围合式广场;考棚对列;多进院落;辅助用房环绕,木材类;砖瓦类
1373,汪氏盐商住宅,民居,清,1875,19世纪,19,江苏省,江苏省扬州市广陵区,0.96,硬山顶;多进院落,汉白玉;砖雕;木雕;石雕,盐商住宅;文化研究实物,砖雕浮雕;木格窗;雕花栏杆,双轴线布局;火巷分隔;坐北朝南;多进院落,木材类;石材类;砖瓦类
1374,贾氏盐商住宅,民居,清,1821,19世纪,19,江苏省,江苏省扬州市广陵区,0.75,抬梁式木构架;穿斗式木构架;砖木混合结构,黄石;砖石,前客厅;花厅;大厅;住宅楼;会客楼,早园水做,东西两轴;坐北朝南;四进院落;住宅园林分置,石材类;砖瓦类
1375,卢氏盐商住宅,民居,清,1897,19世纪,19,江苏省,江苏省扬州市广陵区,0.98,前宅后院;多进厅堂;七间主厅;五间大门,紫藤;石舫;曲桥,会客;读书;藏书;景点兼饭店,木构架;砖雕装饰;假山叠石,前宅后院;九进建筑;天井花园;长廊曲桥,石材类
1376,逸圃,民居,清,1910,20世纪,20,江苏省,江苏省扬州市广陵区,0.99,五山封火墙;七檩结构;步廊木栏杆,木材;瓷板,大厅;书斋;读书楼,木雕;贴璧叠山;复道廊,西宅东园;火巷分隔;曲尺隙地造园;后花园,木材类
1392,八卦桥和河西桥,桥梁,宋,1174,12世纪,12,浙江省,浙江省温州市瑞安市,0.96,五孔梁式石桥;八字斜撑;副墩加固,花岗岩;桥面石板;方形石柱,交通通行;跨河连接,石板磨光刻花;八字斜撑结构;副墩架梁加固,南北走向;东西横跨;跨河布局,石材类
1394,西山桥,桥梁,宋,1265,13世纪,13,浙江省,浙江省杭州市建德市,0.98,条石折边单拱桥;单拱桥;折边拱,青石;条石;石板,交通桥;民用桥梁,联锁式砌法;石砌拱券,线性布局;单跨布局,石材类
1398,金昭牌坊和宪台牌坊,官府,明,1505,16世纪,16,浙江省,浙江省温州市永嘉县,0.98,六柱三楼式;单间加擎檐柱式;木构架;官式牌坊,花岗岩;木材;薄砖;方石柱,进士及第纪念坊;官员功德坊,偷心造插栱;雀替;丁头栱;双落翼式悬山顶,横长方形平面;南北走向,木材类;石材类;砖瓦类
1399,七家厅,民居,明,1368,14世纪,14,浙江省,浙江省金华市婺城区,0.8,结构简练;用材规整,木材;砖石,前厅;后厅;厢房,传统木构;规整营造,方形布局;围院结构;天井;照壁,木材类;石材类;砖瓦类
1404,寺平村乡土建筑,民居,明,1368,14世纪,14,浙江省,浙江省金华市婺城区,0.75,木构架;穿斗式;抬梁式,砖雕;砖石,民居;厅堂,徽派建筑风格;砖雕技艺,民居格局;厅堂布局,石材类;砖瓦类
1405,㹧𱮒湖避塘,桥梁,明,1621,17世纪,17,浙江省,浙江省绍兴市绍兴县,0.92,实体塘堤;单孔平梁石桥;三孔平梁石桥;石路亭,条石;大块石板;石碑,避风浪;交通连接;护田,顺丁叠砌;顺叠砌筑;收分工艺,南北向S形布局;桥亭间隔布局;坐东朝西,石材类
1408,河阳村乡土建筑,民居,五代十国,1368,14世纪,14,浙江省,浙江省丽水市缙云县,0.95,木构架;穿斗式,砖石;木材,古民居;宗祠;寺庙;古井,榫卯结构;雕花装饰,棋盘式格局;四纵五横;中轴线布局;一溪二坑,木材类;石材类;砖瓦类
1409,潘公桥及潘孝墓,桥梁,明,1585,16世纪,16,浙江省,浙江省湖州市吴兴区,0.98,三孔石拱桥;石室墓圹;三合土墓圹,石材;三合土,交通要道;墓葬,石拱砌筑;三合土夯筑,轴线式墓道;垣墉围合;西北—东南向布局,土类;石材类
1415,余庆堂,民居,明,1368,14世纪,14,浙江省,浙江省金华市兰溪市,0.85,砖木结构;硬山顶;阴阳瓦,花岗岩;山石;清水墙,神龛;祭祖空间,石条砌筑;券拱门;砖木结构营造,三进一穿堂;面阔五间;角楼;禾坪;半月形池塘,石材类
1420,林宅,民居,清,1862,19世纪,19,浙江省,浙江省宁波市海曙区,0.95,结构轻巧;抬梁式;穿斗式,木材;砖石,住宅;民居,雕刻精致;封闭式布局;轴线对称,围院结构;纵轴布局;厢房对称;封闭式院落,木材类;石材类;砖瓦类
1421,雪溪胡氏大院,民居,清,1832,19世纪,19,浙江省,浙江省温州市泰顺县,0.98,二进院落;中轴对称;宗族建筑群;台门体系,麻石;石材墙体,厅堂;宗祠;书斋;祭祀空间,月梁;牛腿;斗拱;法式与乡土融合工艺,二进台门;上堂下堂;南北厢房;面阔五/七间,石材类
1422,陈阁老宅,官府,明,1644,17世纪,17,浙江省,浙江省嘉兴市海宁市,0.9,抬梁式;穿斗式,砖石;木材,书斋;花厅;戏楼;库房;祠堂,雕花装饰;榫卯结构,三轴线布局;后花园;坐南朝北;坐北朝南;院落序列,木材类;石材类;砖瓦类
1423,双林三桥,桥梁,元,1314,14世纪,14,浙江省,浙江省湖州市南浔区,0.92,三孔薄墩薄拱实腹石拱桥;联拱石拱桥,花岗岩;青石,交通桥梁;跨河通道,纵联分节并列砌置法;靴钉式砌置法;券睑石;系梁;间壁石,线性排列;等距分布,石材类
1425,马上桥花厅,民居,清,1820,19世纪,19,浙江省,浙江省金华市东阳市,0.99,抬梁式;穿斗式,木材,住宅,东阳木雕;木雕,四进院落;门楼;照壁;正厅;厢房,木材类
1428,三门源叶氏民居,民居,清,1846,19世纪,19,浙江省,浙江省衢州市龙游县,0.98,一进院落;三进二明堂;一字形布局,考究木材;青砖,民居;庭院生活,砖雕;戏曲题材雕刻;门楼装饰工艺,坐东朝西;依山临水;江南民居布局;一字形排列,木材类;砖瓦类
1431,泰顺土楼,民居,清,1851,19世纪,19,浙江省,浙江省温州市泰顺县,0.92,夯土墙;木构架;多层结构,生土;条石;木材;黄土,防御功能;住宅;仓储;城堡式建筑,夯筑;条石砌基,口字形平面;天井;两坡顶;面阔五间,土类;木材类;石材类
1438,程大位故居,民居,明,1506,16世纪,16,安徽省,安徽省黄山市屯溪区,0.85,砖木结构;一脊两堂;马头山墙,砖;木材,居室;祭祖楼;纪念馆,曲梁斗拱;挑檐;马头山墙,三开间两进;前后厢房;主体建筑与偏房组合;庭院布局,木材类;砖瓦类
1439,黄村进士第,官府,明,1532,16世纪,16,安徽省,安徽省黄山市休宁县,0.98,封闭式布局;四进院落;坐南朝北,白墙;青瓦;木材,纪念性建筑;宗族礼制建筑;进士府第,徽派建筑技艺;木雕;石雕;彩绘,四进五开间;纵轴线布局;天井院落;门楼—门屋—享堂—寝楼序列,木材类;砖瓦类
1447,棠樾古民居,民居,宋,1127,12世纪,12,安徽省,安徽省黄山市歙县,0.95,木构架;穿斗式;抬梁式,砖石;木材,住宅;祠堂;药店;墓园,徽州三雕;天井院落;马头墙砌筑,二横主干道;小巷连接;枕山环水面屏,木材类;石材类;砖瓦类
1449,上庄古建筑群,民居,明,1368,14世纪,14,安徽省,安徽省宣城市绩溪县,0.75,抬梁式;穿斗式,木材;砖石;生土,民居;祠堂,榫卯结构;糯米灰浆,围院结构;合院式,土类;木材类;石材类;砖瓦类
1460,北岸廊桥,桥梁,清,1644,17世纪,17,安徽省,安徽省黄山市歙县,0.85,石拱桥;三孔两墩;廊屋,石材;砖木结构;木材;砖,风雨廊桥;美人靠;交通通行;休憩空间,传统石作;木构架搭建,十一开间;对称布局;佛龛设置;风洞窗;桥门额题,木材类;石材类;砖瓦类
1468,宁海桥,桥梁,元,1334,14世纪,14,福建省,福建省莆田市涵江区,0.98,石墩石梁桥;船形墩,巨石;石雕;石材,交通要道;经济枢纽;文化通道,宋代福建桥式,桥侧佛塔;对称布局,石材类
1476,大田土堡群,民居,宋,1368,14世纪,14,福建省,福建省三明市大田县,0.75,防御设施;居住堂屋;堡垒式结构,生土;砖石,防御为主;居住为主;堡垒性功能,糯米灰浆;夯土技术,前方后圆;方型土堡;逐级升高布局;府第式布局,土类;石材类;砖瓦类
1482,蓝廷珍府第,官府,清,1644,17世纪,17,福建省,福建省漳州市漳浦县,0.85,抬梁式;穿斗式,木材;砖石;生土,府第;官邸,榫卯结构;糯米灰浆,围院结构;中轴对称,土类;木材类;石材类;砖瓦类
1483,九头马民居,民居,清,1796,18世纪,18,福建省,福建省福州市长乐市,0.95,穿斗式;抬梁式;防火墙;高墙围合,杉木;楠木;柯木;石质柱础,五落透后;广场;水井;望楼,木雕;石刻;浮雕,五列布局;坐北朝南;夹弄;框门相通;方形平面,木材类;石材类
1484,亭店杨氏民居,民居,清,1894,19世纪,19,福建省,福建省泉州市鲤城区,0.98,抬梁式;穿斗式;三进院落;五开间;双护厝,青石;砖石;木材;生土,侨商住宅;民居,平雕;浮雕;透雕;闽南营造技艺,五开间;三进院落;双护厝;围院结构,土类;木材类;石材类;砖瓦类
1485,南安林氏民居,民居,清,1908,20世纪,20,福建省,福建省泉州市南安市,0.95,硬山顶;四合院;护厝;角楼,泉州红砖;进口水泥花砖,宗祠;住宅;书房;宗亲纽带,南洋风格融合;红砖砌筑;中西合璧装饰,坐北朝南;并列式布局;石埕;水塘,砖瓦类
1486,南安中宪第,民居,清,1644,17世纪,17,福建省,福建省泉州市南安市,0.7,穿斗式;抬梁式,砖石;木材,家族宅第,雕花装饰;砖木结合,九十九间;围院结构,木材类;石材类;砖瓦类
1488,玉井坊郑氏大厝,民居,清,1644,17世纪,17,福建省,福建省三明市尤溪县,0.85,抬梁式;穿斗式,木材;生土;砖石,居住;祭祀,糯米灰浆;榫卯结构,围院结构;中轴对称,土类;木材类;石材类;砖瓦类
1492,凤岐吴氏大宅,民居,清,1736,18世纪,18,福建省,福建省宁德市柘荣县,0.95,中轴对称格局;三进院落;三路布局;围院结构,原木;原砖;原色材料,一村一屋;主从有序;功能分明,依山就势;围合式营造;中轴对称施工,中轴对称格局;依山而建;前后二院;由内向外分布;坐东北朝西南,木材类;砖瓦类
1497,逢渠桥,桥梁,宋,1098,11世纪,11,江西省,江西省宜春市宜丰县,0.98,陡拱;纵向单券并列;石拱桥,花岗石;矩形石,纪念性桥梁;宗教纪念建筑,石券砌筑;纵横通缝工艺;承重拱板构造,单跨布局;线性通道,石材类
1500,万安城墙,官府,宋,1071,11世纪,11,江西省,江西省吉安市万安县,0.96,梯形城墙;垛口结构,青砖;红米石,军事防御;革命遗址,一丁一顺砌法;平摆顺砌,六门布局;临江段城墙;观澜门;五云门,石材类;砖瓦类
1501,紫阳堤,桥梁,宋,982,10世纪,10,江西省,江西省九江市星子县,0.85,石砌堤坝;拱洞桥,石条;石材,港口石堤;渔舟通道,石条叠砌;干砌石工,弧形堤体;石桥连接;内港围合,石材类
1503,明园,民居,明,1522,16世纪,16,江西省,江西省景德镇市昌江区,0.85,三进院落;抬梁式,木材;砖石,祠堂;商铺;宅院,明代营造法;传统木构,三进布局;门厅-享堂-后寝序列;中轴对称,木材类;石材类;砖瓦类
1515,太平桥,桥梁,清,1805,19世纪,19,江西省,江西省赣州市龙南县,0.95,拱券结构;双孔石拱,石拱;石材,交通要道;府际桥梁;公路桥,干砌石工;拱券砌筑,单跨拱桥;矩形平面,石材类
1516,羽琌山馆和云亭别墅,民居,清,1863,19世纪,19,江西省,江西省南昌市进贤县,0.95,抬梁式木构架;穿斗式木构架,青砖;木材;灰瓦,治经室;宝俭庐;还读楼;恋春阁;磨砚山房,雕花门窗;马头墙砌筑;天井排水系统,西庄园;东庄园;庄园式布局;院落组合,木材类;砖瓦类
1517,永镇桥,桥梁,清,1652,17世纪,17,江西省,江西省赣州市安远县,0.95,石墩木梁悬臂式廊桥;三孔二墩二台;悬臂梁结构,花岗岩条石;石灰砂浆;杉条木,桥梁演变实物资料,悬臂梁叠建;疏排法;密排法;纵横交错叠梁,长廊叠梁式屋架;九间廊屋,木材类;灰浆胶结类;石材类
1518,玉带桥,桥梁,清,1644,17世纪,17,江西省,江西省赣州市信丰县,0.85,拱券结构;石拱桥,石材;青石;糯米灰浆,交通通行;景观装饰,干砌法;拱券砌筑,单孔跨河;弧形桥面,灰浆胶结类;石材类
1521,驿前石屋里民宅,民居,清,1716,18世纪,18,江西省,江西省抚州市广昌县,0.99,三厅式;连幢布局,石材;青石;磨光石砌,民居,水磨砖铺地;暗沟排水;石雕盖板,三进院落;坐北朝南;长方形平面;天井布局,石材类
1527,东生围,民居,清,1842,19世纪,19,江西省,江西省赣州市安远县,0.98,土木结构;全砖结构;实心炮楼,卵石;砖;生土,防火;防水;防盗;防御外侵,实心炮楼做法;围屋营造,回字形布局;九井十八厅;坐东朝西,土类;石材类;砖瓦类
1528,金口坝,桥梁,南北朝,514,6世纪,6,山东省,山东省济宁市兖州市,0.98,条石砌筑;木桩基础;五孔闸坝,条石,交通;灌溉;济运;游览;水闸调控,石砌工艺;木桩地基技术,东西走向;五洞闸门布局,石材类
1539,平阴永济桥,桥梁,明,1500,15世纪,15,山东省,山东省济南市平阴县,0.98,单孔拱券;石拱桥,青石;石栏板;方体望柱,交通桥梁;实用与艺术结合,拱券砌筑;浮雕装饰,弧形桥面;对称栏板布局;引桥衔接,石材类
1541,衡王府石坊,宫殿,明,1488,15世纪,15,山东省,山东省潍坊市青州市,0.95,四柱三间式;石构架,巨石;石材,王府遗存;纪念建筑,圆雕;剔地阳文;浮雕,对称布局;轴线排列,石材类
1545,大汶口古石桥,桥梁,明,1567,16世纪,16,山东省,山东省泰安市岱岳区,0.95,石板梁桥;简支石梁,石材;石板,交通桥梁;跨河通道,干砌石工;石板铺装,线性布局;跨河轴线;南北走向,石材类
1578,襄城城墙,官府,东周,-540,公元前6世纪,-6,河南省,河南省许昌市襄城县,0.96,夯土城墙;砖券拱形;瓮城,黄土;青砖;红石;砖石,军事防御;城池驻守,夯土技术;砖券砌筑;砖石包砌,瓮城布局;半圆形瓮城,土类;石材类;砖瓦类
1582,永济桥,桥梁,明,1574,16世纪,16,河南省,河南省信阳市光山县,0.98,九孔石桥;分水尖;引桥;涵洞,长方巨石;汉白玉;条形方石;铸铁,跨河交通;破冰防凌,起拱技法;石砌拱券,主桥-引桥组合;轴线对称;多孔连拱,石材类;金属类
1591,寨卜昌村古建筑群,民居,明,1368,14世纪,14,河南省,河南省焦作市博爱县,0.85,干栏式;木结构,木材,人畜分居;居住;牲畜圈养,穿斗式构架;榫卯结构;木作技艺,背山面水;依山而建;公共活动广场;风雨桥,木材类
1595,密县县衙,官府,隋,616,7世纪,7,河南省,河南省郑州市新密市,0.98,硬山式;五进院落;卷棚;两层阁楼,青砖;灰瓦;砖石,大堂;二堂;三堂;监狱,券洞;甬道排水,座北朝南;五进院落;莲池对称;监狱分院,石材类;砖瓦类
1601,邓城叶氏庄园,民居,清,1662,17世纪,17,河南省,河南省周口市商水县,0.85,硬山式;四合院组群;三进院落,青砖;石板;手工烧制砖瓦;青灰色调材料,当铺院;粮库;民俗博物馆,砖雕;木刻雕花,三进堂楼院;五门照;高门台;坐北朝南,石材类;砖瓦类
1603,西蒋村马氏庄园,民居,清,1875,19世纪,19,河南省,河南省安阳市安阳县,0.85,砖木结构,砖;木材;灰瓦,住宅;教育空间,四合院营造;多路院落布局;传统木构架,四合院;多路院落;三区布局,木材类;砖瓦类
1612,杨家湾老屋,民居,清,1787,18世纪,18,湖北省,湖北省宜昌市夷陵区,0.98,穿斗式;硬山搁檩式,砖木混合结构;木材;砖,民居,穿斗式木构架;硬山搁檩,对称布局;天井院落;纵深两进;横连十一屋,木材类;砖瓦类
1613,百宝寨岩屋,民居,清,1644,17世纪,17,湖北省,湖北省宜昌市当阳市,0.95,岩洞结构;人工开凿结构;自然洞穴改建,岩石;生土,防御功能;避难功能;宗教功能;生活功能,人工开凿;洞穴改建;岩壁雕凿,岩屋群布局;分散式布局;多点聚落,土类;石材类
1615,大丰仓,官府,清,1881,19世纪,19,湖北省,湖北省十堰市郧县,0.99,木构架;框架结构,青砖;黑瓦,粮仓;仓储建筑,通风窗;百叶窗式通风;排水沟系统,丁字形布局;主副仓布局,砖瓦类
1618,沈鸿宾故居,民居,清,1896,19世纪,19,湖北省,湖北省咸宁市咸安区,0.85,一进三重;中轴对称,砖石;木材,涉台文物;乡土建筑研究实例,飞檐翘尾,中轴对称布局;天井院落;鄂东南民居格局,木材类;石材类;砖瓦类
1619,王明璠府第,民居,清,1644,17世纪,17,湖北省,湖北省咸宁市通山县,0.95,抬梁式木构架;穿斗式木构架,砖石;木材,宗祠;府第;住宅,榫卯结构;雕花装饰;青砖砌筑,中轴对称;棋盘格布局;多进院落;座北朝南,木材类;石材类;砖瓦类
1620,彭家寨古建筑群,民居,清,1644,17世纪,17,湖北省,湖北省恩施土家族苗族自治州宣恩县,0.7,吊脚楼;风雨桥,木材;生土,居住;村落聚居,干栏式营造;榫卯结构,依山临水;聚落布局;吊脚楼群,土类;木材类
1632,龙溪李家大院,民居,明,1498,15世纪,15,湖南省,湖南省永州市祁阳县,0.95,木构架;穿斗式,青砖;木材;石材,祠堂;仓廪;花厅;闺房;囚房,榫卯结构;雕花装饰,围院结构;长方形布局;品字书屋;上院下院,木材类;石材类;砖瓦类
1633,涧岩头周家大院古建筑群,民居,明,1550,16世纪,16,湖南省,湖南省永州市零陵区,0.98,木构架;穿斗式;抬梁式,木材;砖石,民居,砖雕;木雕;传统合院营造,北斗七星状布局;宅院组合,木材类;石材类;砖瓦类
1635,濂溪故里古建筑群,民居,明,1368,14世纪,14,湖南省,湖南省永州市道县,0.85,天井式院落,青砖;清水墙,门楼;祠堂;爱莲堂,木构架;砖木结构;石刻工艺,四房三门格局;门楼组团聚居;五横一纵路网,砖瓦类
